SettoreMerceologico,Insegna,TipoVia,Via,Civico,CodiceVia,ZD,SuperficieVendita,SuperficieAltriUsi,SuperficieTotale,TipoAccesso,Isolato
Non specificato,Non presente,Piazza,CORDUSIO,2,626,1,292.0,0.0,292.0,accesso esterno,436
Non specificato,Non presente,Ripa,DI PTA TICINESE,73,5150,6,800.0,0.0,800.0,Non specificato,86
Non specificato,Non presente,Via,ALBERICO DA ROSCIATE,5,6589,7,726.0,0.0,726.0,Non specificato,181
Non specificato,Non presente,Via,ASTESANI ALESSANDRO,17,1558,9,370.0,0.0,370.0,accesso esterno,100
Non specificato,Non presente,Via,MONTE NAPOLEONE,6,219,1,270.0,0.0,270.0,Non specificato,280
Non specificato,Non presente,Via,ROGOREDO,0,4373,4,15930.0,0.0,15930.0,Non specificato,63
Non specificato,esselunga,Via,DOMENICHINO,2,6383,7,795.0,622.0,1417.0,accesso esterno,227
Non specificato,esselunga,Viale,VIGLIANI PAOLO ONORATO,59,6422,8,1225.0,0.0,1225.0,accesso esterno,169
Non specificato,in s mercato,Via,DELLE BETULLE,12,6828,7,620.0,766.0,1386.0,accesso esterno,240
Non specificato,la rinascente,Via,SANTA RADEGONDA,3,208,1,20340.0,0.0,20340.0,accesso esterno,417
Non specificato,pam,Via,PADOVA,111,2275,2,400.0,729.0,1129.0,accesso esterno,279
Non specificato,supermarket,Via,ROSSI PELLEGRINO,33,1510,9,1197.0,0.0,1197.0,accesso esterno,182
Settore alimentare,Non presente,Piazzale,SELINUNTE,2,6566,7,330.0,423.0,753.0,Non specificato,204
Settore alimentare,Non presente,Via,DEI PIATTI,3,532,1,490.0,18.0,508.0,accesso esterno,427
Settore alimentare,in s mercato,Via,ROMBON,34,2659,3,550.0,215.0,765.0,accesso esterno,98
Settore alimentare,punto sma,Via,MAGGI CARLO MARIA,10,7115,1,280.0,178.0,458.0,accesso esterno,124
Non specializzato,Non presente,Corso,MATTEOTTI GIACOMO,14,218,1,384.0,0.0,384.0,accesso esterno,316
Non specializzato,Non presente,Via,EDOLO,26,1217,2,589.0,0.0,589.0,accesso interno,148
Non specializzato,Non presente,Galleria,DEL CORSO,4,305,1,2381.0,785.0,3166.0,Non specificato,333
Non specializzato,Non presente,Piazzale,FERRARA,2,4158,4,536.0,1.0,537.0,accesso interno,125
Non specializzato,Non presente,Piazzale,SELINUNTE,2,6566,7,329.0,323.0,652.0,accesso esterno,204
Non specializzato,Non presente,Piazza,DEL DUOMO,31,1,1,757.0,35.0,792.0,accesso esterno,419
Non specializzato,Non presente,Piazza,DELLA TRIVULZIANA,6,1765,9,1130.0,655.0,1785.0,Non specificato,58
Non specializzato,Non presente,Piazza,SIGMUND FREUD,1,1705,9,800.0,100.0,900.0,Non specificato,259
